Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Body area (product.metafields.shopify.body-area),Color (product.metafields.shopify.color-pattern),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance (product.metafields.shopify.fragrance),Gift set format (product.metafields.shopify.gift-set-format),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Olfactory family (product.metafields.shopify.olfactory-family),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Size (product.metafields.shopify.size),Skin care effect (product.metafields.shopify.skin-care-effect),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ember-ivy,Ember & Ivy,"A walk through a hidden forest at dusk. Ember &amp; Ivy captures the cool freshness of green ivy blended with the smoky warmth of burning wood. Bergamot adds a crisp brightness, while cashmere musk wraps it all in softness.",Maison Veil,Uncategorized,Perfume,"",true,Volume,10ml,,,,,,,,,100.0,,-1,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_54194a60-cb47-49b1-93d2-cbe1d9ffbb10.png?v=1754083742,1,"",false,Ember & Ivy | Maison Veil,"Smoked Wood, Ivy Leaves, Bergamot, Cashmere Musk",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_54194a60-cb47-49b1-93d2-cbe1d9ffbb10.png?v=1754083742,g,,,active
ember-ivy,,,,,,,,,30ml,,,,,,,,,100.0,,-1,deny,manual,30.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_54194a60-cb47-49b1-93d2-cbe1d9ffbb10.png?v=1754083742,g,,,
ember-ivy,,,,,,,,,50ml,,,,,,,,,100.0,,0,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_54194a60-cb47-49b1-93d2-cbe1d9ffbb10.png?v=1754083742,g,,,
ember-ivy,,,,,,,,,100ml,,,,,,,,,100.0,,0,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_54194a60-cb47-49b1-93d2-cbe1d9ffbb10.png?v=1754083742,g,,,
celestial-mist,Celestial Mist,"<p>A breath of fresh air infused with dreamy elegance. Celestial Mist is a soft aquatic floral with a crisp green tea note that uplifts the senses, while white musk keeps it light, airy, and celestial.</p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Volume,10ml,,,,,,,,,100.0,,-1,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_7529e6be-1d88-4adc-ab6e-0efdc6405193.png?v=1754084642,1,"",false,Celestial Mist | Maison Veil,"Blue Lotus, Fresh Ozone, Green Tea, White Musk",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_7529e6be-1d88-4adc-ab6e-0efdc6405193.png?v=1754084642,g,,,active
celestial-mist,,,,,,,,,30ml,,,,,,,,,100.0,,-1,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_7529e6be-1d88-4adc-ab6e-0efdc6405193.png?v=1754084642,g,,,
celestial-mist,,,,,,,,,50ml,,,,,,,,,100.0,,0,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_7529e6be-1d88-4adc-ab6e-0efdc6405193.png?v=1754084642,g,,,
celestial-mist,,,,,,,,,100ml,,,,,,,,,100.0,,0,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_7529e6be-1d88-4adc-ab6e-0efdc6405193.png?v=1754084642,g,,,
golden-solstice,Golden Solstice,"<p>A sun-kissed glow bottled in liquid gold. Golden Solstice is a luminous blend of sweet honey and neroli, softened by jasmine and wrapped in warm amber. Perfect for summer days and golden-hour rendezvous.</p>",Maison Veil,,Perfume,"",true,Volume,20ml,,,,,,,,,100.0,,-1,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_cd0dbfa3-99ff-4d80-a21d-0908b51a0563.png?v=1754083671,1,"",false,Golden Solstice | Maison Veil,"Honey, Neroli, Jasmine, Warm Amber",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_cd0dbfa3-99ff-4d80-a21d-0908b51a0563.png?v=1754083671,g,,,active
golden-solstice,,,,,,,,,30ml,,,,,,,,,100.0,,-1,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_cd0dbfa3-99ff-4d80-a21d-0908b51a0563.png?v=1754083671,g,,,
golden-solstice,,,,,,,,,50ml,,,,,,,,,100.0,,0,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_cd0dbfa3-99ff-4d80-a21d-0908b51a0563.png?v=1754083671,g,,,
golden-solstice,,,,,,,,,100ml,,,,,,,,,100.0,,0,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_cd0dbfa3-99ff-4d80-a21d-0908b51a0563.png?v=1754083671,g,,,
obsidian-noir,Obsidian Noir,"<p>Power, seduction, and rebellion in a bottle. Obsidian Noir is dark and intoxicating, blending exotic black orchid with rich oud and supple leather. The final touch of tonka bean adds a smoky sweetness that lingers.</p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,10ml,$20.00,,30ml,$35.00,,50ml,$50.00,,,100.0,,0,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_066ab534-8ea3-455e-b8d2-96834e05ae56.png?v=1754083631,1,"",false,Obsidian Noir | Maison Veil,"Black Orchid, Oud, Leather, Tonka Bean",,,,,,,,,,,,,,,,1,,,,,g,,,active
velvet-rosewood,Velvet Rosewood,"<p>Romantic and timeless, Velvet Rosewood is a fragrance for the elegant soul. The lush sweetness of damask rose is wrapped in creamy sandalwood and grounded by a touch of earthy patchouli. A scent that whispers luxury.</p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Title,Default Title,,,,,,,,,100.0,,-1,deny,manual,105.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_280d415e-7520-454d-bcbe-4c71a80efd66.png?v=1754083472,1,"",false,Velvet Rosewood | Maison Veil,"Damask Rose, Sandalwood, Patchouli, Bergamot",,,,,,,,,,,,,,,,,,,,,g,,,active
midnight-ember,Midnight Ember,"<p>A bold and mysterious scent that lingers like an unforgettable night. Midnight Ember envelops you in deep, smoky vanilla, warmed by hints of saffron and dark cedar. Perfect for those who thrive in moonlight and intrigue.</p>",Maison Veil,Apparel & Accessories > Clothing > Clothing Tops,Perfume,"",true,Size,10ml,,,,,,,,,100.0,shopify,98,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Aurora_Bloom.png?v=1788482965,1,"",false,Midnight Ember | Maison Veil,"Black Amber, Smoked Vanilla, Saffron, Dark Cedar",,,,,,,,,,,,,,,,,,,,,g,,,active
midnight-ember,,,,,,,,,30ml,,,,,,,,,100.0,shopify,99,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
midnight-ember,,,,,,,,,50ml,,,,,,,,,100.0,shopify,100,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
midnight-ember,,,,,,,,,100ml,,,,,,,,,100.0,shopify,100,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
maison-veil-veil-of-fire,Maison Veil - Muse Impériale,"<p><span>Radiant strawberry and sparkling citrus melt into velvety florals before settling into creamy vanilla musk, warm tonka, and soft woods.</span></p>",My Store,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","Bestseller, Bold, Floral Oud, Signature Scent, Spicy, Unisex",true,Size,10-ml-1,product.metafields.shopify.size,,,,,,,,5488.467677,shopify,98,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/DC9E173C-481E-4122-B7E3-FD93889BBC56.png?v=1772985791,1,"",false,,,,,,,,,,,,,,,,spicy; floral; bergamot-cardamom-heart-rose-smoked-vanilla-base-oud-wood-tonka-bean-amber,,10-ml-1; 15-ml-1; 30-ml; 50-ml; 100-ml,,,,,lb,,,active
maison-veil-veil-of-fire,,,,,,,,,15-ml-1,,,,,,,,,5488.467677,shopify,50,deny,manual,45.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
maison-veil-veil-of-fire,,,,,,,,,30-ml,,,,,,,,,5488.467677,shopify,50,deny,manual,68.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
maison-veil-veil-of-fire,,,,,,,,,50-ml,,,,,,,,,5488.467677,shopify,50,deny,manual,104.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
maison-veil-veil-of-fire,,,,,,,,,100-ml,,,,,,,,,5488.467677,shopify,50,deny,manual,135.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
